dialogue_id,target_emotion,target_utterance
8,joy,That sounds like a good idea. I'll have to try that.
20,joy,"Yeah, it reminds you why they say baseball is America ’ s favorite pastime."
29,neutral,So are you! How about another coffee?
61,disgust,I don ’ t want to post my personal information on the internet. I ’ m not knowing who is reading it.
62,joy,"Yeah, I will be there."
69,neutral,"Dude, don ’ t equivocate. A theory only becomes a theory after withstanding rigorous testing. You slept through class, didn ’ t you?"
85,joy,"Yeah, it sure would."
97,joy,"Yes. I have. I liked it very much. Like you, I was very impressed with Rachel ’ s performance in the movie. She ’ s going to be a star."
104,joy,that's what friends are for.
129,neutral,Thanks. I ’ ll be sitting over there.
134,neutral,"I can try, but knowing Margaret she will see through that immediately."
143,joy,great. I ’ m looking forward to it.
158,joy,You can ask me any question at any time.
178,neutral,That ’ s true. There ’ s clear evidence that people who listen to lively music are lively people. Music can influence a person ’ s feeling and character.
181,neutral,Maybe you can correct it by going to a driving range before you play again.
228,joy,I'm sure he'll love the idea. Just throw yourself into it and you'll enjoy it!
230,neutral,it sounds like you've learned something useful this year!
232,joy,"Sure, let's go to Malibu."
236,joy,That ’ s fantastic. Thank you.
285,anger,"Oh, you men! You're all the same."
294,joy,"That's ok, keep going, you ’ re moving ahead by leaps and bounds. Watch your dynamics! Keep your elbows lifted. Remember to stroke the keys, don ’ t pound. That ’ s better! Remember that as a pianist or any"
300,joy,"I appreciate that, thank you."
313,joy,I ’ m sure I ’ ll like it here.
316,joy,You ’ re right. I would have to travel to the city at least once a week to go shopping and see friends. I would hate living in the country!
325,joy,"sure. Good luck, Maria!"
339,neutral,"Terrific! B. A., again and again-B. A."
343,joy,"OK, I'll meet you there."
356,joy,Okay. Thanks for your help.
367,neutral,I think so. Because I've taken one to improve my oral English during summer vacation.
371,joy,"That's great. Well, we'd better get back to our seats. It's about to start."
372,joy,That ’ s it. Thank you.
378,joy,Are you serious? That will be wonderful!
381,joy,I believe that you can make your dream come true.
419,sadness,That ’ s weird.
423,joy,"Got it. Thank you, Shirley."
425,joy,That will be great.
435,neutral,"Yeah, I'll call later to patch things up."
438,joy,"To be honest, in order for the earth to continue to be a habitable place, we're all going to have to become more interested in the environment."
445,joy,That ’ s a good way to think about it.
457,joy,Don't mention it. I'm always willing to help good students.
467,joy,"You too, Peter. Give my regards to John. I'll see you in September."
483,joy,I am glad we've straightened everything out.
490,joy,Sure. Now you are talking.
505,joy,Que bien! Sentences poems habeas en espanol!
510,joy,ok! I ’ ll bring one to you next time.
537,neutral,"No problem, I'll play as hard as I can and give you an extra game to say thanks."
538,joy,Sure. Sounds great. Let's go.
554,joy,"yes, but with our sense we'll always look good."
564,joy,That's the spirit. Never give up on your dream.
571,joy,"Yes, mom. You are right. Nothing is impossible to a willing heart. I will keep going."
572,joy,"that's be great. The more prepared I am, the better."
576,surprise,That ’ s expensive.
578,joy,It all sounds great. We can go there after the match. I can't wait to see what they have.
589,joy,It's a good thing you can speak English!
619,joy,"I appreciate that, thank you."
