Dialogue_ID,Utterance_ID,Utterance,Emotion
8,0,"Hi, Becky, what's up?",neutral
8,1,"Not much, except that my mother-in-law is driving me up the wall.",neutral
8,2,What's the problem?,neutral
8,3,She loves to nit-pick and criticizes everything that I do. I can never do anything right when she's around.,neutral
8,4,For example?,neutral
8,5,"Well, last week I invited her over to dinner. My husband and I had no problem with the food, but if you listened to her, then it would seem like I fed her old meat and rotten vegetables. There's just nothing can please her.",neutral
8,6,"No, I can't see that happening. I know you're a good cook and nothing like that would ever happen.",neutral
8,7,It's not just that. She also criticizes how we raise the kids.,neutral
8,8,"My mother-in-law used to do the same thing to us. If it wasn't disciplining them enough, then we were disciplining them too much. She also complained about the food we fed them, the schools we sent them too, and everything else under the sun.",neutral
8,9,You said she used to? How did you stop her?,neutral
8,10,"We basically sat her down and told her how we felt about her constant criticizing, and how we welcomed her advice but hoped she'd let us do our things. She understood, and now everything is a lot more peaceful.",neutral
8,11,That sounds like a good idea. I'll have to try that.,joy
20,0,Here ’ s your hot dog and beer. What happened? Did I miss anything?,neutral
20,1,"Yeah, Cal Ripen just hit a home run.",neutral
20,2,What ’ s the score?,neutral
20,3,"Well it was 3 to 4, but Ripen ’ s home run made it 5 to 4 since another player was on first base.",neutral
20,4,So Baltimore is winning?,neutral
20,5,Right.,joy
20,6,This is a really great place to watch a baseball game.,joy
20,7,"Yeah, there isn ’ t a bad seat in the place.",joy
20,8,"The fans are great here, too. Not like in Philadelphia.",joy
20,9,It was a great idea to spend a day watching a game.,joy
20,10,"Yeah, it reminds you why they say baseball is America ’ s favorite pastime.",joy
29,0,Do you want black or white coffee?,neutral
29,1,"White, please",neutral
29,2,Look! there's a Folk concert tomorrow evening. Do you Want to go?,neutral
29,3,I don't like Folk music very much.,neutral
29,4,What kind of music do you like?,neutral
29,5,I like classical music. Do you?,neutral
29,6,Not very much. Classical music sends me to sleep,neutral
29,7,I don't believe you.,neutral
29,8,It ’ s true.,neutral
29,9,You are funny!,neutral
29,10,So are you! How about another coffee?,neutral
61,0,What upsets you?,neutral
61,1,"My parents called. As usual, they reminded me again that I should have a plan to marry by my late 20s. Easier said then done. Who should I marry? I have no time to go on a date.",sadness
61,2,It is not your mother finding one for you?,neutral
61,3,"I will find one myself, of course. I ’ m a modern girl.",neutral
61,4,"Perhaps you can try the three minutes date, the latest type.",neutral
61,5,"You mean dozens of the opposite sex meet each other for three minutes in a dimly bar serving alcohol, I hate that idea.",disgust
61,6,"No, there is an updated virgin, three minutes video date. I know an online dating website providing such service with a microphone and webcam, you can sigh for it. You can be face-to-face with a guy talking for maximum three minutes.",neutral
61,7,I don ’ t think it makes sense. Three minutes is such a short time.,neutral
61,8,"I think you can find out if there is a possibility of romance within the first second of meeting someone, so-called love at first sight.",neutral
61,9,"Anyway, I don ’ t want to post my face up for sale on the internet like that.",disgust
61,10,"Don ’ t worry. There are many other options using the internet as dating methods. Some sites operate at international standard even have got certifications. Of course, for these sites, you have to pay a membership fee. But all in all, it is more serious and professional. The chance of meeting a good and serious person who does not play games is higher.",neutral
61,11,I don ’ t want to post my personal information on the internet. I ’ m not knowing who is reading it.,disgust
62,0,Are you going to the party on Saturday?,neutral
62,1,I was thinking about it. Are you?,neutral
62,2,"Yeah, I heard it's going to be a lot of fun.",joy
62,3,"Really? Well, what time does it start?",surprise
62,4,It starts at 8,neutral
62,5,"Well, who all is going to be there?",neutral
62,6,Everyone from school.,neutral
62,7,How do you know it's going to be so fun?,neutral
62,8,"This party is going to have a DJ, food, and drinks.",joy
62,9,"Wow, that does sound like it's going to be fun.",joy
62,10,So am I going to see you at the party?,joy
62,11,"Yeah, I will be there.",joy
69,0,What ’ s up? You don ’ t look too good.,neutral
69,1,"Yeah, my head hurts, that ’ s all. I ’ Ve been in physics class all day. It ’ s killer!",disgust
