Sr No.,Utterance,Speaker,Emotion,Dialogue_ID,Utterance_ID,Season,Episode,StartTime,EndTime,Dialogue Act,turn_index
47,Hey!,Rachel,surprise,4,0,3,11,"0:20:23,931","0:20:24,891",g,0
48,Hi!,Ross,joy,4,1,3,11,"0:20:24,891","0:20:25,028",g,1
49,What are you doing here?,Rachel,surprise,4,2,3,11,"00:20:25,140","00:20:26,265",q,2
50,"Ah y'know, this building is on my paper route so I...",Ross,neutral,4,3,3,11,"00:20:26,433","00:20:29,185",s,3
51,Oh.,Rachel,neutral,4,4,3,11,"0:20:29,394","0:20:30,771",b,4
52,Hi.,Ross,neutral,4,5,3,11,"0:20:30,771","0:20:30,873",g,5
53,Hi.,Rachel,neutral,4,6,3,11,"0:20:30,873","0:20:31,135",g,6
54,How'd did it go?,Ross,neutral,4,7,3,11,"00:20:31,188","00:20:32,230",q,7
55,"Oh well, the woman I interviewed with was pretty tough, but y'know thank God Mark coached me, because once I started talking about the fall line, she got all happy and wouldn't shut up.",Rachel,joy,4,8,3,11,"00:20:32,397","00:20:40,446",s,8
56,I'm so proud of you.,Ross,joy,4,9,3,11,"0:20:40,614","0:20:41,991",ap,9
57,Me too!,Rachel,joy,4,10,3,11,"0:20:41,991","0:20:43,543",ag,10
58,"Listen, I'm ah, I'm sorry I've been so crazy and jealous and, it's just that I like you a lot, so...",Ross,sadness,4,11,3,11,"00:20:44,284","00:20:53,584",ap,11
220,How does she do that?,Monica,surprise,21,0,1,4,"00:01:49,275","00:01:51,485",q,0
221,I cannot sleep in a public place.,Ross,neutral,21,1,1,4,"00:01:51,653","00:01:54,822",o,1
222,Would you look at her? She is so peaceful.,Monica,joy,21,2,1,4,"00:01:54,989","00:02:00,994",q,2
223,Oh! What what what! ...Hi.,Phoebe,surprise,21,3,1,4,"00:02:01,162","00:02:03,622",g,3
224,"It's okay, y'know, you just nodded off again.",Ross,neutral,21,4,1,4,"00:02:03,790","00:02:05,958",s,4
225,What's going on with you?,Monica,surprise,21,5,1,4,"00:02:06,126","00:02:08,127",q,5
226,I got no sleep last night!,Phoebe,anger,21,6,1,4,"0:02:08,294","0:02:09,587",ans,6
227,Why?,Ross,neutral,21,7,1,4,"0:02:09,587","0:02:09,991",q,7
228,"My grandmother has this new boyfriend, and they're both kind of insecure in bed.",Phoebe,disgust,21,8,1,4,"00:02:10,088","00:02:17,177",ans,8
229,"Oh, and deaf.",Phoebe,neutral,21,9,1,4,"00:02:17,345","00:02:18,887",oth,9
230,"So they're constantly, like, having to reassure each other that they're having a good time.",Phoebe,neutral,21,10,1,4,"00:02:20,682","00:02:24,726",s,10
231,You have no idea how loud they are!,Phoebe,disgust,21,11,1,4,"00:02:24,894","00:02:26,937",s,11
270,"Oh God, this is so nerve wracking! How-how do you do this?",Ross,surprise,26,0,5,18,"00:09:41,414","00:09:44,958",q,0
271,"Well, unfortunately, I don't get many callbacks so",Joey,neutral,26,1,5,18,"00:09:45,126","00:09:48,128",ans,1
272,Is it a good sign that they asked us to hang around after the audition?,Carol,surprise,26,2,5,18,"00:09:49,046","00:09:51,715",q,2
273,Who knows?,Joey,neutral,26,3,5,18,"00:09:51,882","00:09:53,508",s,3
274,"Okay uh, we have narrowed it down to Raymond, Ben, Kyle, and Joey. The rest of you, thank you very much.",The Casting Director,neutral,26,4,5,18,"00:09:55,219","00:10:02,976",s,4
275,Yes!! I knew it!! Bye-bye! So long! Later!,Ross,joy,26,5,5,18,"00:10:03,144","00:10:13,403",g,5
276,Oh this is great! I might actually get to play Ben's dad!,Joey,joy,26,6,5,18,"00:10:15,281","00:10:17,824",s,6
277,Yeah!,Ross,joy,26,7,5,18,"00:10:17,824","00:10:18,743",b,7
278,"Actually, that can't happen.",The Casting Director,neutral,26,8,5,18,"00:10:18,743","00:10:20,243",dag,8
279,"Yeah because you all have such different looks, we're putting you with Raymond and Kyle with Ben.",The Casting Director,neutral,26,9,5,18,"00:10:20,411","00:10:25,665",o,9
280,So it'll be either you two or you two.,The Casting Director,neutral,26,10,5,18,"00:10:25,833","00:10:28,585",o,10
281,"Man, this is gonna be kinda weird.",Joey,sadness,26,11,5,18,"00:10:29,920","00:10:35,508",dag,11
308,"This is my father, Paul Stevens. Dad, this is Ross Geller.",Elizabeth,neutral,30,0,6,21,"00:04:19,342","00:04:23,262",s,0
309,It-it's great to meet you Paul.,Ross,joy,30,1,6,21,"00:04:23,429","00:04:25,847",g,1
310,I usually prefer Elizabeth's boyfriends to address me as Mr. Stevens.,Paul,neutral,30,2,6,21,"00:04:26,015","00:04:29,476",o,2
311,"Of course, of course, Mr. Stevens.",Ross,neutral,30,3,6,21,"00:04:30,812","00:04:33,021",ag,3
312,"So Ross, what your problem?",Paul,anger,30,4,6,21,"00:04:33,189","00:04:37,901",q,4
313,Eh-whExcuse me?,Ross,surprise,30,5,6,21,"00:04:39,862","00:04:41,113",ans,5
314,Why can't you get a girlfriend your own age?,Paul,anger,30,6,6,21,"00:04:41,281","00:04:43,282",q,6
315,That's funny. Umm. It's not funny.,Ross,fear,30,7,6,21,"00:04:43,992","00:04:52,374",ans,7
316,I,Paul,neutral,30,8,6,21,"00:04:49,706","00:04:52,374",oth,8
317,Okay.,Ross,neutral,30,9,6,21,"0:04:52,542","0:04:52,844",oth,9
318,"I can, I can see that.",Ross,neutral,30,10,6,21,"0:04:52,844","0:04:55,338",s,10
319,"Umm, but I think if you give me umm, one chance I can, I can change your mind.",Ross,fear,30,11,6,21,"00:04:55,461","00:05:00,799",o,11
426,I can't,Phoebe,anger,40,0,8,4,"00:04:36,859","00:04:40,237",dag,0
427,Yeah! You gotta tell a girl before you tape her. Such a rookie mistake.,Joey,anger,40,1,8,4,"00:04:40,405","00:04:43,532",o,1
428,Y'know who has a great video camera?,Chandler,neutral,40,2,8,4,"0:04:47,996","0:04:50,008",q,2
429,Greg and Jenny?,Phoebe,neutral,40,3,8,4,"0:04:50,008","0:04:51,709",ans,3
430,Do you still wanna call em? I wanna call em.,Monica,neutral,40,4,8,4,"0:04:52,417","0:04:54,879",q,4
431,Let's call em.,Chandler,neutral,40,5,8,4,"0:04:54,879","0:04:55,020",ans,5
432,Yeah! Ask them if they brought their friends any souvenirs!,Joey,joy,40,6,8,4,"00:04:55,169","00:04:57,421",s,6
433,Hello? Eighth street deli?,Monica,neutral,40,7,8,4,"00:05:04,095","00:05:06,471",g,7
434,"Hey, hang up! You get food poisoning just talkin' to that place.",Joey,disgust,40,8,8,4,"00:05:06,681","00:05:10,726",s,8
435,"Uh sorry, wrong number.",Monica,fear,40,9,8,4,"0:05:10,977","0:05:12,187",ap,9
436,Here you go.,Chandler,neutral,40,10,8,4,"0:05:12,187","0:05:14,079",s,10
437,Hello? It's the deli again!,Monica,surprise,40,11,8,4,"00:05:16,566","00:05:19,609",s,11
1635,"Cause every time I see your face, I can't help but fall from grace. I know.....",Singer,joy,167,0,3,14,"00:00:10,135","00:00:18,100",oth,0
1636,Wow! This girl is good.,Joey,surprise,167,1,3,14,"00:00:18,268","00:00:19,852",o,1
1637,"Oh-ho yeah! A song with rhyming words. Oo, I never thought of that before.",Phoebe,anger,167,2,3,14,"00:00:20,020","00:00:23,856",s,2
1638,I like her.,Chandler,neutral,167,3,3,14,"00:00:26,192","00:00:27,234",o,3
1639,Why? Because she can sing and play guitar and do both at the same time?,Phoebe,neutral,167,4,3,14,"00:00:27,402","00:00:31,655",o,4
1640,"Well, that's pretty much all I'm looking for from these people.",Chandler,neutral,167,5,3,14,"00:00:32,741","00:00:35,492",s,5
1641,Look at you. All jealous.,Monica,anger,167,6,3,14,"00:00:36,369","00:00:38,412",s,6
1642,"Yeah Pheebs, come on, you two have completely different styles. Y'know, she's more.. y'know, and you're more",Ross,neutral,167,7,3,14,"00:00:38,580","00:00:47,880",o,7
1643,Say you'll stay beside me,Joey,sadness,167,8,3,14,"00:00:49,247","00:00:52,801",oth,8
1644,"Okay, see, see, everyone else is happy she's done.",Phoebe,anger,167,9,3,14,"00:00:57,807","00:01:01,018",s,9
1645,"Okay, my next song's called: Phoebe Buffay, What Can I Say.",Singer,neutral,167,10,3,14,"00:01:02,979","00:01:08,692",s,10
1646,"I Really Loved When We Were Singing Partners, And I Shouldn't Have Left You That Way.",Singer,neutral,167,11,3,14,"00:01:05,815","00:01:12,321",o,11
1648,"Yes, hello.",Ross,neutral,168,0,5,24,"0:05:44,177","0:05:45,309",g,0
1649,I have a question.,Ross,neutral,168,1,5,24,"0:05:45,309","0:05:46,226",s,1
1650,"Umm, I used your pen to draw on my friend's face.",Ross,neutral,168,2,5,24,"00:05:46,346","00:05:51,558",s,2
1651,A beard and a moustache.,Ross,neutral,168,3,5,24,"00:05:52,393","00:05:54,478",s,3
1652,Thank you.,Ross,neutral,168,4,5,24,"00:05:57,190","00:05:59,358",g,4
1653,"No,",Ross,neutral,168,5,5,24,"00:06:00,526","00:06:02,694",dag,5
1654,What?! What else did he say?,Rachel,surprise,168,6,5,24,"00:06:24,300","00:06:26,134",q,6
1655,"Umm, he said he thought I was funny.",Ross,neutral,168,7,5,24,"00:06:26,344","00:06:29,596",ans,7
1656,"So Okay, look-look umm, let's just go downstairs, we'll have some fun, and you will forget all about it.",Ross,neutral,168,8,5,24,"00:06:31,599","00:06:38,230",o,8
1657,"Ross, no! There is",Rachel,anger,168,9,5,24,"00:06:38,439","00:06:41,525",dag,9
1658,"Oh, come on! Rach, it's-it's not that bad.",Ross,neutral,168,10,5,24,"00:06:41,734","00:06:43,819",o,10
1659,"Ross, I am a human doodle!!",Rachel,anger,168,11,5,24,"00:06:44,070","00:06:46,071",s,11
1781,Hey!,Monica,joy,180,0,8,24,"0:02:27,844","0:02:28,971",g,0
1785,I can't believe this is taking so long. How are you doing?,Monica,sadness,180,4,8,24,"00:02:29,220","00:02:32,098",q,1
1786,Oh not bad. Do you know that feeling when you're trying to blow a Saint Bernard out your ass?,Rachel,sadness,180,5,8,24,"00:02:32,265","00:02:37,478",ans,2
1787,Weirdest thing. Did I hearMother of God it's true!,Chandler,surprise,180,6,8,24,"00:02:40,565","00:02:45,987",s,3
1788,Chandler Bing!,Janice,surprise,180,7,8,24,"00:02:46,904","00:02:50,908",oth,4
1789,Janice,Joey,surprise,180,8,8,24,"00:02:51,075","00:02:52,076",oth,5
1790,"Not just Janice, Janice in labor, contracting and everything.",Ross,joy,180,9,8,24,"00:02:52,243","00:02:56,789",s,6
1791,"Oh, this should be easy. I have a very wide pelvis. You remember Chandler.",Janice,neutral,180,10,8,24,"00:02:58,249","00:03:01,586",o,7
1792,Janice I didn't even know you were pregnant! Who's the unwitting human who's essence you've stolen?,Chandler,surprise,180,11,8,24,"00:03:07,258","00:03:13,473",q,8
1793,It's you. This is yours.,Janice,neutral,180,12,8,24,"00:03:15,516","00:03:19,604",ans,9
