Sr No.,Utterance,Speaker,Emotion,Dialogue_ID,Utterance_ID,Season,Episode,StartTime,EndTime,Dialogue Act,turn_index
1,also I was the point person on my company's transition from the KL-5 to GR-6 system.,Chandler,neutral,0,0,8,21,"00:16:16,059","00:16:21,731",s,0
2,You must've had your hands full.,The Interviewer,neutral,0,1,8,21,"00:16:21,940","00:16:23,442",o,1
3,That I did. That I did.,Chandler,neutral,0,2,8,21,"00:16:23,442","00:16:26,389",ag,2
4,So let's talk a little bit about your duties.,The Interviewer,neutral,0,3,8,21,"00:16:26,820","00:16:29,572",s,3
5,My duties? All right.,Chandler,surprise,0,4,8,21,"00:16:34,452","00:16:40,917",ag,4
6,"Now you'll be heading a whole division, so you'll have a lot of duties.",The Interviewer,neutral,0,5,8,21,"00:16:41,126","00:16:44,337",s,5
7,I see.,Chandler,neutral,0,6,8,21,"00:16:48,800","00:16:51,886",ag,6
8,But there'll be perhaps 30 people under you so you can dump a certain amount on them.,The Interviewer,neutral,0,7,8,21,"00:16:48,800","00:16:54,514",o,7
9,Good to know.,Chandler,neutral,0,8,8,21,"00:16:59,477","00:17:00,478",s,8
10,We can go into detail,The Interviewer,neutral,0,9,8,21,"00:17:00,478","00:17:02,719",o,9
11,No don't I beg of you!,Chandler,fear,0,10,8,21,"00:17:02,856","00:17:04,858",dag,10
12,"All right then, we'll have a definite answer for you on Monday, but I think I can say with some confidence, you'll fit in well here.",The Interviewer,neutral,0,11,8,21,"00:17:05,025","00:17:13,324",o,11
24,"Hey, Mon.",Chandler,neutral,2,0,3,6,"00:05:50,350","00:05:51,433",g,0
25,Hey-hey-hey. You wanna hear something that sucks.,Monica,neutral,2,1,3,6,"0:05:52,435","0:05:53,897",q,1
26,Do I ever.,Chandler,joy,2,2,3,6,"0:05:53,897","0:05:55,743",oth,2
27,Chris says they're closing down the bar.,Monica,sadness,2,3,3,6,"0:05:57,023","0:05:58,734",s,3
28,No way!,Chandler,surprise,2,4,3,6,"0:05:58,734","0:05:59,774",dag,4
29,"Yeah, apparently they're turning it into some kinda coffee place.",Monica,neutral,2,5,3,6,"00:05:59,942","00:06:02,152",s,5
30,Just coffee! Where are we gonna hang out now?,Chandler,disgust,2,6,3,6,"00:06:02,362","00:06:07,157",q,6
31,Got me.,Monica,sadness,2,7,3,6,"00:06:04,489","00:06:07,157",oth,7
32,Can I get a beer.,Chandler,neutral,2,8,3,6,"0:06:07,367","0:06:08,035",q,8
33,"Hey, did you pick a roommate?",Monica,neutral,2,9,3,6,"0:06:08,035","0:06:10,019",q,9
34,You betcha!,Chandler,joy,2,10,3,6,"0:06:10,161","0:06:10,973",oth,10
35,Is it the Italian guy?,Monica,neutral,2,11,3,6,"0:06:10,973","0:06:12,167",q,11
47,Hey!,Rachel,surprise,4,0,3,11,"0:20:23,931","0:20:24,891",g,0
48,Hi!,Ross,joy,4,1,3,11,"0:20:24,891","0:20:25,028",g,1
49,What are you doing here?,Rachel,surprise,4,2,3,11,"00:20:25,140","00:20:26,265",q,2
50,"Ah y'know, this building is on my paper route so I...",Ross,neutral,4,3,3,11,"00:20:26,433","00:20:29,185",s,3
51,Oh.,Rachel,neutral,4,4,3,11,"0:20:29,394","0:20:30,771",b,4
52,Hi.,Ross,neutral,4,5,3,11,"0:20:30,771","0:20:30,873",g,5
53,Hi.,Rachel,neutral,4,6,3,11,"0:20:30,873","0:20:31,135",g,6
54,How'd did it go?,Ross,neutral,4,7,3,11,"00:20:31,188","00:20:32,230",q,7
55,"Oh well, the woman I interviewed with was pretty tough, but y'know thank God Mark coached me, because once I started talking about the fall line, she got all happy and wouldn't shut up.",Rachel,joy,4,8,3,11,"00:20:32,397","00:20:40,446",s,8
56,I'm so proud of you.,Ross,joy,4,9,3,11,"0:20:40,614","0:20:41,991",ap,9
57,Me too!,Rachel,joy,4,10,3,11,"0:20:41,991","0:20:43,543",ag,10
58,"Listen, I'm ah, I'm sorry I've been so crazy and jealous and, it's just that I like you a lot, so...",Ross,sadness,4,11,3,11,"00:20:44,284","00:20:53,584",ap,11
66,Good job Joe! Well done! Top notch!,Chandler,joy,6,0,8,22,"00:12:24,315","00:12:27,526",ap,0
67,You liked it? You really liked it?,Joey,surprise,6,1,8,22,"0:12:28,194","0:12:29,796",q,1
68,"Oh-ho-ho, yeah!",Chandler,joy,6,2,8,22,"0:12:29,796","0:12:31,501",ans,2
69,Which part exactly?,Joey,neutral,6,3,8,22,"0:12:31,655","0:12:33,657",q,3
70,The whole thing! Can we go?,Chandler,neutral,6,4,8,22,"0:12:33,657","0:12:36,243",ans,4
71,"Oh no-no-no, give me some specifics.",Joey,anger,6,5,8,22,"00:12:36,368","00:12:38,746",c,5
72,"I love the specifics, the specifics were the best part!",Chandler,joy,6,6,8,22,"00:12:38,954","00:12:43,000",o,6
73,"Hey, what about the scene with the kangaroo? Did-did you like that part?",Joey,neutral,6,7,8,22,"00:12:43,209","00:12:48,255",q,7
74,I was surprised to see a kangaroo in a World War I epic.,Chandler,surprise,6,8,8,22,"00:12:49,298","00:12:54,929",ans,8
75,You fell asleep!!,Joey,anger,6,9,8,22,"00:12:55,930","00:12:56,931",s,9
76,There was no kangaroo!,Joey,anger,6,10,8,22,"0:12:58,432","0:12:59,809",s,10
77,They didn't take any of my suggestions!,Joey,anger,6,11,8,22,"0:12:59,809","0:13:03,196",s,11
97,What've you been up to?,Chandler,neutral,9,0,2,5,"00:01:51,903","00:01:54,738",q,0
98,"Oh, you know, the usual, teaching aerobics, partying way too much.",Jade,neutral,9,1,2,5,"00:01:54,948","00:02:01,203",ans,1
99,"Oh, and in case you were wondering, those are my legs on the new James Bond poster.",Jade,neutral,9,2,2,5,"00:02:01,621","00:02:07,459",s,2
100,Can you hold on a moment? I have another call. I love her.,Chandler,joy,9,3,2,5,"00:02:10,547","00:02:14,758",s,3
101,I know.,Ross,neutral,9,4,2,5,"00:02:13,091","00:02:14,758",ag,4
102,I'm back.,Chandler,neutral,9,5,2,5,"0:02:16,261","0:02:16,903",s,5
103,"So, are we gonna get together or what?",Jade,neutral,9,6,2,5,"0:02:16,903","0:02:19,185",q,6
104,"Um, absolutely. Uh, how 'bout tomorrow afternoon? Do you know uh, Central Perk in the Village, say, five-ish?",Chandler,neutral,9,7,2,5,"00:02:19,347","00:02:25,561",ans,7
105,"Great, I'll see you then.",Jade,neutral,9,8,2,5,"00:02:25,770","00:02:28,647",ag,8
106,Ok. Ok. Having a phone has finally paid off.,Chandler,joy,9,9,2,5,"00:02:32,318","00:02:34,528",s,9
107,"Even though you do do a good Bob impression, I'm thinkin' when she sees you tomorow, she's probably gonna realize, ""Hey, you're not Bob.""",Ross,neutral,9,10,2,5,"00:02:36,823","00:02:43,620",o,10
108,"I'm hoping that when Bob doesn't show up, she will seek comfort in the open arms of the wry stranger at the next table.",Chandler,neutral,9,11,2,5,"00:02:47,375","00:02:52,337",o,11
127,Hey!,Chandler,neutral,12,0,6,4,"00:09:47,295","00:09:49,045",g,0
128,Hey! So Estelle lined up a bunch of auditions for me tomorrow and I'll have my health insurance back in no time.,Joey,joy,12,1,6,4,"00:09:47,295","00:09:56,177",s,1
129,"That's great, but shouldn't you be on the toilet right now?",Chandler,disgust,12,2,6,4,"00:09:57,346","00:10:00,890",q,2
130,What?!,Joey,surprise,12,3,6,4,"0:10:04,312","0:10:05,647",q,3
131,What's wrong with you?,Chandler,disgust,12,4,6,4,"0:10:05,647","0:10:06,929",q,4
132,Nothing!,Joey,neutral,12,5,6,4,"00:10:07,023","00:10:08,023",ans,5
133,"Well, I-I got this blinding pain in my stomach when I was lifting weights before, then I uh passed out and uh, haven't been able to stand up since.",Joey,fear,12,6,6,4,"00:10:08,190","00:10:18,575",s,6
134,"But um, I don't think it's anything serious.",Joey,neutral,12,7,6,4,"00:10:18,743","00:10:21,536",o,7
135,This sounds like a hernia. You have toyou-you go to the doctor!,Chandler,surprise,12,8,6,4,"00:10:21,704","00:10:24,706",o,8
136,"No way! Kay look, if I have to go to the doctor for anything it's gonna be for this thing sticking out of my stomach!",Joey,fear,12,9,6,4,"00:10:24,874","00:10:31,463",dag,9
137,That's a hernia.,Chandler,disgust,12,10,6,4,"00:10:34,842","00:10:36,009",s,10
138,Why did I have to start working out again? Damn you 15s!,Joey,anger,12,11,6,4,"00:10:36,177","00:10:41,556",q,11
149,Get Out!,Ross,anger,15,0,9,23,"00:42:09,652","00:42:13,488",c,0
150,"Ross, can I talk to you for a minute?",Charlie,neutral,15,1,9,23,"00:42:15,032","00:42:16,908",q,1
151,"Yes, please! So, what's going on?",Ross,neutral,15,2,9,23,"00:42:17,117","00:42:23,998",ans,2
152,"Uh, well... Joey and I broke up.",Charlie,sadness,15,3,9,23,"00:42:26,126","00:42:29,754",s,3
153,"Oh my God, wh-what happened?",Ross,surprise,15,4,9,23,"00:42:30,464","00:42:35,885",q,4
154,"Joey is a great guy, but we're just... so different! I mean, during your speech he kept laughing at homo erectus!",Charlie,sadness,15,5,9,23,"00:42:36,053","00:42:44,561",ans,5
155,I knew that was him!,Ross,anger,15,6,9,23,"00:42:42,059","00:42:44,561",o,6
156,"Anyway I just, uh, I think it's for the best.",Charlie,sadness,15,7,9,23,"00:42:46,313","00:42:50,108",o,7
157,"Hey, you ok?",Ross,neutral,15,8,9,23,"0:42:51,068","0:42:52,950",q,8
158,I guess.,Charlie,sadness,15,9,9,23,"0:42:52,950","0:42:55,208",ans,9
159,There was hum... there was another reason that I thought it was time to end it with Joey.,Charlie,neutral,15,10,9,23,"00:42:57,866","00:43:05,915",s,10
160,I started to realize that I was having feelings for someone else.,Charlie,neutral,15,11,9,23,"00:43:06,667","00:43:12,547",o,11
203,How did it go with Erin?,Rachel,neutral,20,0,7,7,"00:10:56,155","00:10:59,157",q,0
204,"Oh, unbelievable! We had the best time!",Joey,joy,20,1,7,7,"00:10:59,408","00:11:01,368",s,1
205,"Yay!! Oh so, you're not, you're not mad at us anymore?",Phoebe,joy,20,2,7,7,"00:11:01,535","00:11:06,164",q,2
206,No!,Joey,joy,20,3,7,7,"0:11:02,703","0:11:03,538",ans,3
207,No!,Joey,joy,20,4,7,7,"0:11:03,538","0:11:04,760",ans,4
208,No!,Joey,joy,20,5,7,7,"0:11:04,760","0:11:05,303",ans,5
209,You guys were totally right!,Joey,joy,20,6,7,7,"0:11:05,303","0:11:06,298",o,6
210,This is so much better than the first time we went out.,Joey,joy,20,7,7,7,"00:11:06,374","00:11:08,625",o,7
211,Y'know?,Joey,neutral,20,8,7,7,"00:11:08,625","00:11:08,834",oth,8
212,"That was so awkward, we were really nervous.",Joey,neutral,20,9,7,7,"00:11:08,834","00:11:11,378",o,9
213,Didn't you sleep together?,Phoebe,neutral,20,10,7,7,"0:11:11,629","0:11:12,811",q,10
214,"Yeah, that really calms me down.",Joey,neutral,20,11,7,7,"0:11:12,811","0:11:14,723",ans,11
